,0,1,2
519,ネガ（評価）,お粗末 だ,-1.0
520,ネガ（評価）,お粗末 です,-1.0
521,ネガ（評価）,お粗末 と,-1.0
522,ネガ（評価）,お粗末 の,-1.0
523,ネガ（評価）,かっこ 悪い,-1.0
524,ネガ（評価）,かったるい,-1.0
525,ネガ（評価）,かみ合う ない,-1.0
526,ネガ（評価）,かわいい げ の ない,-1.0
527,ネガ（評価）,かん高い,-1.0
528,ネガ（評価）,がさつ だ,-1.0
529,ネガ（評価）,がさつ です,-1.0
530,ネガ（評価）,がっかり,-1.0
531,ネガ（評価）,がつがつ,-1.0
532,ネガ（評価）,がめつい,-1.0
533,ネガ（評価）,ききにくい,-1.0
534,ネガ（評価）,きちきち,-1.0
535,ネガ（評価）,きつい,-1.0
536,ネガ（評価）,きびしい,-1.0
537,ネガ（評価）,きゅうきゅう,-1.0
538,ネガ（評価）,ぎくしゃく,-1.0
539,ネガ（評価）,ぎこちない,-1.0
540,ネガ（評価）,ぎごち ない,-1.0
541,ネガ（評価）,ぎすぎす,-1.0
542,ネガ（評価）,ぎちぎち,-1.0
543,ネガ（評価）,ぎゅうぎゅう,-1.0
544,ネガ（評価）,ぎょうぎょうしい,-1.0
545,ネガ（評価）,ぎょっと,-1.0
546,ネガ（評価）,くしゃくしゃ,-1.0
547,ネガ（評価）,くそ まじめ だ,-1.0
548,ネガ（評価）,くそ まじめ です,-1.0
549,ネガ（評価）,くだらない,-1.0
550,ネガ（評価）,くどい,-1.0
551,ネガ（評価）,ぐしゃぐしゃ,-1.0
552,ネガ（評価）,ぐしょぐしょ だ,-1.0
553,ネガ（評価）,ぐしょぐしょ です,-1.0
554,ネガ（評価）,ぐじゃぐじゃ だ,-1.0
555,ネガ（評価）,ぐじゃぐじゃ です,-1.0
556,ネガ（評価）,ぐずぐず,-1.0
557,ネガ（評価）,ぐずる,-1.0
558,ネガ（評価）,ぐにゃぐにゃ,-1.0
559,ネガ（評価）,ぐにゃぐにゃ だ,-1.0
560,ネガ（評価）,ぐにゃぐにゃ です,-1.0
561,ネガ（評価）,ぐらぐら,-1.0
562,ネガ（評価）,ぐらつく,-1.0
563,ネガ（評価）,けがらわしい,-1.0
564,ネガ（評価）,けしからん だ,-1.0
